Ano,Total,Arruamento,Autoestrada,Emunicipal,Enacional,IPIC,Outras
2007,35311,18204,2282,3848, 9039,1149,789
2008,33613,17792,2501,2862, 8315,1063,1080
2009,35484,19018,2886,2742, 8620,1288,930
2010,35426,19741,2934,2486, 8191,1321,753
2011,32541,19086,2272,2077, 7324,1134,648
2012,29867,17865,1747,1788, 6719,1010,738
2013,30339,18061,1824,1704, 6807,1045,898
2014,30604,17590,1879,1588, 7369,1082,1096
2015,31953,19279,1714,1635, 6746,1038,1541
2016,32299,20007,1947,1762, 6564,1099,920
2017,34416,20802,1921,2238, 7087,1191,1177
2018,34235,21268,2156,1765, 6574,1298,1174
2019,35704,22794,2146,1334, 6372,1229,1829
2020,26501,16579,1426,1124, 5049, 838,1485