ano,regiao,VM,FG,FL,Total
2007,Braga,44,227,3474,3745
2007,bracanca,25,63,463,551
2007,Porto,89,313,6590,6992
2007,V.Castelo,24,64,1009,1097
2007,V.real,13,68,869,950
2007,Aveiro,54,241,3591,3886
2007,C.Branco,36,122,820,978
2007,Coimbra,38,97,2450,2585
2007,Guarda,17,85,655,757
2007,Leiria,77,196,2967,3240
2007,Viseu,40,114,1763,1917
2007,Lisboa,105,484,8251,8840
2007,Santarem,69,254,2639,2962
2007,Setubal,93,250,3317,3660
2007,Beja,25,18,724,767
2007,Evora,20,76,701,797
2007,Portalegre,13,60,369,442
2007,Faro,72,277,2550,2899
2008,Braga,56,233,3342,3631
2008,bracanca,16,57,484,557
2008,Porto,87,291,6626,7004
2008,V.Castelo,28,51,946,1025
2008,V.real,10,47,673,730
2008,Aveiro,69,203,3526,3798
2008,C.Branco,17,87,656,760
2008,Coimbra,49,93,2430,2572
2008,Guarda,16,58,615,689
2008,Leiria,57,189,2814,3060
2008,Viseu,29,122,1822,1973
2008,Lisboa,93,401,8029,8523
2008,Santarem,51,217,2319,2587
2008,Setubal,77,190,2013,2280
2008,Beja,34,68,649,751
2008,Evora,29,66,673,768
2008,Portalegre,12,46,388,446
2008,Faro,46,187,2322,2555
2009,Braga,55,197,3735,3987
2009,bracanca,10,58,516,584
2009,Porto,75,268,7058,7401
2009,V.Castelo,25,50,1106,1181
2009,V.real,15,52,821,888
2009,Aveiro,62,161,3509,3732
2009,C.Branco,17,101,798,916
2009,Coimbra,37,99,2366,2502
2009,Guarda,17,55,587,659
2009,Leiria,60,208,746,1014
2009,Viseu,29,92,183,304
2009,Lisboa,79,356,8741,9176
2009,Santarem,75,233,2532,2840
2009,Setubal,76,223,3283,3582
2009,Beja,26,99,735,860
2009,Evora,28,74,653,755
2009,Portalegre,9,57,393,459
2009,Faro,42,241,2338,2621
2010,Braga,80,181,3751,4012
2010,bracanca,17,71,531,619
2010,Porto,105,230,7408,7743
2010,V.Castelo,33,40,1020,1093
2010,V.real,20,74,820,914
2010,Aveiro,88,189,3631,3908
2010,C.Branco,27,112,663,802
2010,Coimbra,51,87,2356,2494
2010,Guarda,22,66,633,721
2010,Leiria,66,184,2703,2953
2010,Viseu,31,107,1777,1915
2010,Lisboa,123,327,902,1352
2010,Santarem,57,209,2373,2639
2010,Setubal,79,191,3224,3494
2010,Beja,31,93,614,738
2010,Evora,22,84,625,731
2010,Portalegre,23,57,369,449
2010,Faro,59,173,2270,2502
2011,Braga,47,201,3421,3669
2011,bracanca,12,84,468,564
2011,Porto,78,249,6882,7209
2011,V.Castelo,20,45,927,992
2011,V.real,19,58,744,821
2011,Aveiro,45,148,3300,3493
2011,C.Branco,19,122,604,745
2011,Coimbra,41,110,2045,2196
2011,Guarda,11,51,600,662
2011,Leiria,53,138,2298,2489
2011,Viseu,36,113,1640,1789
2011,Lisboa,82,374,8320,8776
2011,Santarem,52,184,1966,2202
2011,Setubal,57,165,3038,3260
2011,Beja,34,90,563,687
2011,Evora,24,81,567,672
2011,Portalegre,14,49,384,447
2011,Faro,54,174,1959,2187
2012,Braga,44,170,34224,34438
2012,bracanca,11,51,415,477
2012,Porto,79,496,6000,6575
2012,V.Castelo,13,42,908,963
2012,V.real,15,54,666,735
2012,Aveiro,43,118,2675,2836
2012,C.Branco,14,103,596,713
2012,Coimbra,29,86,1744,1859
2012,Guarda,10,52,491,553
2012,Leiria,38,157,2181,2376
2012,Viseu,29,85,1569,1683
2012,Lisboa,64,303,7817,8184
2012,Santarem,45,162,1832,2039
2012,Setubal,48,156,2568,2772
2012,Beja,26,63,483,572
2012,Evora,11,57,548,616
2012,Portalegre,11,42,306,359
2012,Faro,43,163,1967,2173
2013,Braga,2706,163,3364,6233
2013,bracanca,358,55,437,850
2013,Porto,5075,198,6333,11606
2013,V.Castelo,719,50,888,1657
2013,V.real,543,44,699,1286
2013,Aveiro,2470,137,2957,5564
2013,C.Branco,498,92,584,1174
2013,Coimbra,1441,61,1828,3330
2013,Guarda,404,53,480,937
2013,Leiria,1644,160,1903,3707
2013,Viseu,1206,73,1534,2813
2013,Lisboa,6847,350,8097,15294
2013,Santarem,1463,158,1814,3435
2013,Setubal,2145,125,2648,4918
2013,Beja,420,67,478,965
2013,Evora,434,69,559,1062
2013,Portalegre,302,53,320,675
2013,Faro,1664,146,1895,3705
2014,Braga,28,204,3370,3602
2014,bracanca,15,59,379,453
2014,Porto,64,213,6644,6921
2014,V.Castelo,23,41,887,951
2014,V.real,20,60,675,755
2014,Aveiro,17,125,2891,3033
2014,C.Branco,17,86,546,649
2014,Coimbra,41,66,1781,1888
2014,Guarda,8,62,569,639
2014,Leiria,33,144,2106,2283
2014,Viseu,26,69,1447,1542
2014,Lisboa,60,344,8174,8578
2014,Santarem,30,168,1760,1958
2014,Setubal,28,163,2437,2628
2014,Beja,20,105,520,645
2014,Evora,15,41,499,555
2014,Portalegre,8,68,320,396
2014,Faro,29,134,2014,2177
2015,Braga,2881,192,3577,6650
2015,bracanca,338,46,420,804
2015,Porto,5487,183,6850,12520
2015,V.Castelo,740,51,945,1736
2015,V.real,604,58,785,1447
2015,Aveiro,2501,116,2981,5598
2015,C.Branco,517,89,1841,2447
2015,Coimbra,1507,92,459,2058
2015,Guarda,399,59,2065,2523
2015,Leiria,1768,174,1509,3451
2015,Viseu,1199,97,1506,2802
2015,Lisboa,7222,357,8583,16162
2015,Santarem,1460,169,1757,3386
2015,Setubal,2278,163,2805,5246
2015,Beja,436,94,536,1066
2015,Evora,416,69,495,980
2015,Portalegre,299,74,335,708
2015,Faro,1901,167,2285,4353
2016,Braga,28,158,3486,3672
2016,bracanca,7,56,398,461
2016,Porto,46,169,7027,7242
2016,V.Castelo,8,42,989,1039
2016,V.real,7,52,675,734
2016,Aveiro,43,115,3062,3220
2016,C.Branco,17,84,601,702
2016,Coimbra,22,88,1811,1921
2016,Guarda,9,58,473,540
2016,Leiria,32,174,2016,2222
2016,Viseu,23,108,1551,1682
2016,Lisboa,57,317,8964,9338
2016,Santarem,24,136,1755,1915
2016,Setubal,26,152,2781,2959
2016,Beja,26,92,498,616
2016,Evora,13,68,516,597
2016,Portalegre,15,71,346,432
2016,Faro,32,162,2172,2366
2017,Braga,30,143,3822,3995
2017,bracanca,10,41,443,494
2017,Porto,68,172,7333,7573
2017,V.Castelo,15,48,1013,1076
2017,V.real,15,46,376,437
2017,Aveiro,45,123,3171,3339
2017,C.Branco,15,81,675,771
2017,Coimbra,30,103,1957,2090
2017,Guarda,14,61,528,603
2017,Leiria,27,168,2208,2403
2017,Viseu,16,87,1669,1772
2017,Lisboa,51,317,9551,9919
2017,Santarem,43,187,1895,2125
2017,Setubal,56,190,3058,3304
2017,Beja,21,96,561,678
2017,Evora,14,65,477,556
2017,Portalegre,10,78,339,427
2017,Faro,30,192,2408,2630
2018,Aveiro,41,114,3208,3363
2018,Beja,28,81,538,647
2018,Braga,38,129,2923,3090
2018,bracanca,12,43,462,517
2018,C.Branco,15,63,1822,1900
2018,Coimbra,32,86,529,647
2018,Evora,19,55,2275,2349
2018,Faro,44,196,483,723
2018,Guarda,23,41,2158,2222
2018,Leiria,48,144,9494,9686
2018,Lisboa,88,260,373,721
2018,Portalegre,12,59,7208,7279
2018,Porto,79,181,1780,2040
2018,Santarem,52,195,3158,3405
2018,Setubal,74,156,3148,3378
2018,V.Castelo,15,45,1051,1111
2018,V.real,28,58,372,458
2018,Viseu,27,93,1536,1656
2019,Aveiro,42,135,3362,3539
2019,Beja,37,68,566,671
2019,Braga,45,153,3988,4186
2019,bracanca,8,48,488,544
2019,C.Branco,14,66,628,708
2019,Coimbra,40,79,1952,2071
2019,Evora,17,71,545,633
2019,Faro,44,214,2449,2707
2019,Guarda,19,58,509,586
2019,Leiria,45,123,2132,2300
2019,Lisboa,76,337,9820,10233
2019,Portalegre,17,52,365,434
2019,Porto,79,205,7738,8022
2019,Santarem,41,211,1956,2208
2019,Setubal,32,159,3183,3374
2019,V.Castelo,18,53,1038,1109
2019,V.real,14,46,863,923
2019,Viseu,38,90,1064,1192
2020,Aveiro,21,80,1 808,1909
2020,Beja,14,43,273,330
2020,Braga,20,84,2 014,2118
2020,bracanca,3,24,200,227
2020,C.Branco,11,58,340,409
2020,Coimbra,18,57,1 029,1104
2020,Evora,10,29,265,304
2020,Faro,20,111,1 200,1331
2020,Guarda,10,32,261,303
2020,Leiria,22,62,1 082,1166
2020,Lisboa,46,147,4 319,4512
2020,Portalegre,9,25,173,207
2020,Porto,35,104,3 731,3870
2020,Santarem,35,106,959,1100
2020,Setubal,31,87,1 534,1652
2020,V.Castelo,15,37,530,582
2020,V.real,8,23,437,468
2020,Viseu,16,55,859,930
